                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64133,                0.70519,                0.90681,                0.81976,                0.75211,                0.51661,                0.52959,                0.43676,                0.75211,                0.51661,                0.52959,                0.33288,                0.64203,                0.76682,                 2.2757,                0.80912,             0.00027089,             0.00027089,             0.00027089
                      2,                0.69526,                0.71103,                0.98563,                0.81693,                0.49784,                0.47948,                0.48983,                0.36277,                0.49784,                0.47948,                0.48983,                0.28416,                0.66061,                0.78164,                 2.0607,                0.82489,              0.0005377,              0.0005377,              0.0005377
                      3,                0.69813,                0.69993,                 1.0424,                0.82506,                0.76673,                0.48117,                0.50261,                0.37326,                0.76673,                0.48117,                0.50826,                0.31134,                0.77102,                0.88901,                 2.1514,                0.83353,             0.00079351,             0.00079351,             0.00079351
                      4,                0.72259,                0.74165,                  1.131,                0.83195,                0.42731,                0.44329,                0.40588,                0.28951,                0.42731,                0.44329,                0.40588,                0.22044,                0.88532,                 1.1035,                 2.1958,                0.85911,             0.00078352,             0.00078352,             0.00078352
                      5,                0.74121,                0.74262,                 1.0682,                 0.8343,                0.38995,                0.56985,                0.47996,                0.36999,                0.41348,                0.53484,                0.48223,                0.28214,                0.66154,                0.81375,                 2.0851,                0.82528,             0.00076703,             0.00076703,             0.00076703
                      6,                0.70865,                0.74821,                 1.0934,                 0.8313,                0.43116,                 0.5363,                 0.4701,                0.36005,                0.43116,                 0.5363,                 0.4701,                0.29577,                0.70175,                0.81708,                  2.674,                0.82195,             0.00075053,             0.00075053,             0.00075053
                      7,                0.71396,                0.72562,                 1.0204,                0.82643,                0.57031,                0.46055,                0.51722,                0.39655,                0.57031,                0.46055,                0.51722,                0.34569,                0.71577,                 0.8748,                  2.538,                0.82385,             0.00073404,             0.00073404,             0.00073404
                      8,                0.71677,                0.76432,                 1.0309,                0.82726,                0.46977,                0.52391,                0.51073,                0.36253,                0.46977,                0.52391,                0.51049,                0.29961,                0.66231,                0.82044,                 2.0844,                0.82041,             0.00071755,             0.00071755,             0.00071755
                      9,                0.69901,                0.68589,                0.96362,                0.83498,                 0.5587,                0.48682,                0.50939,                0.37909,                 0.5587,                0.48682,                0.50939,                0.31446,                0.69802,                0.83717,                 2.3192,                0.81873,             0.00070105,             0.00070105,             0.00070105
                     10,                0.71359,                0.73569,                0.97281,                0.83443,                0.43604,                 0.5345,                0.49242,                0.36082,                0.43604,                 0.5345,                0.49242,                0.27525,                0.71085,                 0.9174,                 2.3527,                  0.839,             0.00068456,             0.00068456,             0.00068456
                     11,                0.69435,                0.71583,                0.97307,                0.81876,                0.43106,                0.46639,                0.46248,                0.38436,                0.43106,                0.46639,                0.46248,                0.30574,                0.64312,                 0.8666,                 2.7122,                0.80523,             0.00066807,             0.00066807,             0.00066807
                     12,                0.69075,                 0.6668,                0.99505,                0.82278,                0.47141,                0.44518,                0.47945,                0.37156,                0.47141,                0.44518,                0.47945,                0.33654,                0.70248,                0.80641,                 2.6459,                0.81664,             0.00065157,             0.00065157,             0.00065157
                     13,                0.69657,                0.70038,                0.91839,                0.83216,                0.46201,                0.45958,                0.46919,                0.35918,                0.46201,                0.45958,                0.47148,                0.29064,                0.77874,                 0.8542,                 2.4466,                 0.8276,             0.00063508,             0.00063508,             0.00063508
                     14,                0.69092,                0.72593,                0.97087,                0.82582,                0.48745,                0.49647,                0.44738,                0.34438,                0.48745,                0.49647,                0.44803,                 0.2611,                 0.6528,                0.70807,                  2.463,                0.82904,             0.00061859,             0.00061859,             0.00061859
                     15,                0.67999,                0.70383,                0.95287,                0.82469,                0.50908,                0.51571,                0.52013,                0.41177,                0.50908,                0.51571,                0.52013,                0.32995,                0.63605,                0.75323,                 2.0176,                0.82066,             0.00060209,             0.00060209,             0.00060209
                     16,                0.67033,                 0.7062,                0.86201,                0.81736,                0.47457,                0.42399,                0.43879,                0.34156,                0.47457,                0.42399,                0.43879,                0.25084,                0.69769,                0.82076,                 2.5072,                0.82096,              0.0005856,              0.0005856,              0.0005856
                     17,                0.65631,                0.65463,                0.86507,                0.82565,                0.49312,                0.51469,                0.49985,                0.39751,                0.55006,                0.47978,                0.50357,                0.31951,                0.65093,                  0.799,                  2.238,                0.81031,             0.00056911,             0.00056911,             0.00056911
                     18,                0.68057,                0.67087,                0.86213,                 0.8281,                0.51717,                0.47621,                0.52191,                 0.4266,                0.51717,                0.47621,                0.52191,                0.32972,                0.62409,                0.75545,                 2.3661,                0.80988,             0.00055261,             0.00055261,             0.00055261
                     19,                0.65998,                0.64727,                0.81344,                0.81448,                0.53336,                0.52292,                 0.5059,                0.40657,                0.53336,                0.52292,                 0.5059,                0.33764,                0.66603,                0.79231,                 2.3648,                0.80581,             0.00053612,             0.00053612,             0.00053612
                     20,                0.65404,                0.65643,                0.83512,                0.82067,                0.52955,                 0.4462,                0.47573,                0.38358,                0.52955,                 0.4462,                0.47548,                0.30237,                0.66348,                0.96939,                 2.6449,                0.81236,             0.00051963,             0.00051963,             0.00051963
                     21,                0.65554,                0.62499,                0.81987,                0.81732,                0.56804,                0.49471,                0.51553,                0.40598,                0.56804,                0.49471,                0.51553,                0.34251,                0.65657,                0.76033,                 2.3983,                0.81302,             0.00050313,             0.00050313,             0.00050313
                     22,                0.64391,                0.66727,                0.77552,                0.82495,                0.57355,                0.48461,                0.52737,                0.40257,                0.57355,                0.48461,                0.52737,                0.34526,                0.65928,                0.80236,                 2.3041,                0.81064,             0.00048664,             0.00048664,             0.00048664
                     23,                0.65029,                0.67033,                0.82081,                0.81924,                0.51053,                0.54972,                0.54099,                0.43426,                0.51053,                0.54972,                0.54099,                0.33569,                0.71526,                0.76146,                 2.2249,                 0.8198,             0.00047015,             0.00047015,             0.00047015
                     24,                0.64084,                0.67849,                0.80682,                0.81879,                0.55447,                0.51717,                0.53448,                0.45031,                0.55447,                0.51717,                0.53382,                 0.3579,                0.64816,                0.79931,                 2.2609,                 0.8058,             0.00045365,             0.00045365,             0.00045365
                     25,                0.63851,                0.69446,                0.76291,                0.81542,                0.51901,                0.56079,                0.53197,                0.43213,                 0.5192,                 0.5523,                0.53136,                0.33481,                0.64294,                0.80248,                 2.4345,                0.81341,             0.00043716,             0.00043716,             0.00043716
                     26,                0.64635,                0.65746,                0.73505,                0.81846,                0.52139,                0.52333,                0.51213,                0.42567,                0.52139,                0.52333,                0.51213,                0.34072,                0.62263,                0.86767,                 2.4466,                 0.8068,             0.00042066,             0.00042066,             0.00042066
                     27,                0.62578,                0.64922,                0.70126,                0.81087,                0.51535,                0.44313,                0.48001,                0.38607,                0.51535,                0.44313,                0.48001,                 0.2927,                0.64516,                0.82113,                 2.6481,                0.81587,             0.00040417,             0.00040417,             0.00040417
                     28,                0.64495,                0.64068,                 0.7614,                0.81394,                 0.5782,                0.42378,                0.51375,                0.42869,                 0.5782,                0.42378,                0.51375,                0.34046,                0.65646,                 0.8097,                 2.3051,                0.79972,             0.00038768,             0.00038768,             0.00038768
                     29,                0.60874,                0.64332,                0.74463,                0.81176,                0.63528,                0.45266,                0.52777,                0.43888,                0.63528,                0.45266,                0.52777,                0.34668,                0.62389,                0.75917,                 2.3388,                0.79501,             0.00037118,             0.00037118,             0.00037118
                     30,                0.61935,                0.64503,                0.70117,                0.81398,                  0.466,                0.53283,                0.50653,                0.42835,                  0.466,                0.53283,                0.50653,                0.33908,                0.59753,                0.83502,                 2.3353,                0.79672,             0.00035469,             0.00035469,             0.00035469
                     31,                0.61479,                0.60058,                0.67896,                 0.8039,                0.54791,                0.47328,                0.50011,                0.41531,                0.54791,                0.47328,                0.50011,                0.32035,                0.61237,                0.78629,                 2.2849,                0.80314,              0.0003382,              0.0003382,              0.0003382
                     32,                0.61045,                0.64325,                0.70105,                0.81631,                0.53398,                0.51865,                0.50049,                0.41697,                0.53398,                0.51865,                0.50049,                0.32419,                0.65082,                0.76836,                 2.4731,                0.80605,              0.0003217,              0.0003217,              0.0003217
                     33,                0.60959,                0.63146,                0.67943,                0.81202,                0.53384,                0.50243,                0.51214,                0.43616,                0.53384,                0.50243,                0.51214,                0.33452,                0.63738,                0.74805,                 2.1576,                0.79917,             0.00030521,             0.00030521,             0.00030521
                     34,                0.60817,                0.61487,                 0.6269,                0.80312,                0.47697,                0.58378,                0.50657,                0.43152,                0.47697,                0.58378,                0.50587,                0.32839,                0.59505,                0.77994,                 2.2084,                0.79828,             0.00028872,             0.00028872,             0.00028872
