                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.60255,                0.61342,                0.63434,                0.80747,                0.56185,                0.52021,                0.50507,                0.43225,                0.56185,                0.52021,                0.50507,                0.34612,                0.58659,                0.75175,                 2.4762,                0.79519,             0.00027222,             0.00027222,             0.00027222
                     36,                0.59355,                0.66045,                0.64102,                0.80654,                0.51041,                0.47765,                0.47064,                0.39589,                0.51041,                0.47765,                0.47064,                0.31064,                0.61365,                0.75636,                  2.628,                0.79738,             0.00025573,             0.00025573,             0.00025573
                     37,                0.60062,                0.62533,                0.64401,                0.80902,                0.58221,                0.47197,                0.50839,                0.42307,                0.58221,                0.47197,                0.50798,                0.32626,                0.65306,                0.81405,                 2.6122,                0.80108,             0.00023924,             0.00023924,             0.00023924
                     38,                0.59177,                0.59449,                0.62221,                0.80485,                0.49751,                0.55168,                0.51876,                0.42535,                0.50237,                0.54564,                0.51806,                0.32131,                0.60455,                0.81111,                 2.2325,                0.80632,             0.00022274,             0.00022274,             0.00022274
                     39,                0.57607,                0.62033,                0.60408,                0.80715,                0.52458,                0.48767,                0.50679,                0.41206,                0.52458,                0.48767,                0.50679,                0.33006,                0.64111,                0.81374,                 2.5465,                0.80669,             0.00020625,             0.00020625,             0.00020625
                     40,                0.57526,                0.63102,                0.57978,                0.80847,                0.47628,                0.52415,                0.50687,                0.43839,                0.47628,                0.52415,                0.50687,                0.34605,                 0.6068,                0.77763,                 2.4568,                0.79601,             0.00018976,             0.00018976,             0.00018976
                     41,                0.56089,                0.57168,                0.55969,                0.81007,                0.51704,                0.51818,                0.49936,                0.43327,                0.51704,                0.51818,                0.49928,                0.33694,                0.60723,                0.78131,                 2.3734,                0.79097,             0.00017326,             0.00017326,             0.00017326
                     42,                0.57319,                0.61088,                0.52504,                 0.8025,                0.52157,                 0.5558,                0.51506,                0.44319,                0.52157,                 0.5558,                0.51506,                0.34536,                0.59573,                0.76274,                  2.344,                0.79625,             0.00015677,             0.00015677,             0.00015677
                     43,                  0.565,                0.57856,                0.53415,                0.80689,                0.53472,                0.50186,                 0.4921,                0.42781,                0.53472,                0.50186,                 0.4921,                0.34008,                0.57203,                0.77753,                 2.4528,                0.79206,             0.00014028,             0.00014028,             0.00014028
                     44,                 0.5511,                0.55877,                0.50297,                 0.8062,                0.57548,                0.45456,                0.50719,                0.42502,                0.57548,                0.45456,                0.50719,                0.33931,                0.61268,                0.76114,                  2.362,                0.79713,             0.00012378,             0.00012378,             0.00012378
                     45,                0.54627,                0.60672,                  0.478,                0.80582,                0.50939,                0.52116,                0.49935,                0.42061,                0.50939,                0.52116,                0.49935,                0.32699,                0.65228,                0.74078,                 2.4178,                0.80076,             0.00010729,             0.00010729,             0.00010729
                     46,                0.54697,                0.56269,                0.49516,                 0.7906,                0.50116,                 0.5107,                0.50175,                   0.42,                0.50116,                 0.5107,                0.50175,                0.35208,                0.59776,                 0.7655,                 2.4444,                0.79436,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 0.5381,                0.56522,                0.47563,                0.80591,                0.51657,                0.51141,                0.50509,                0.41576,                0.51657,                0.51141,                0.50509,                0.33913,                0.61992,                0.76149,                  2.444,                0.79883,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.53835,                0.60524,                0.47564,                0.80259,                0.51415,                0.49876,                 0.5075,                0.42043,                0.51415,                0.49876,                0.50667,                0.34508,                0.61533,                0.76836,                 2.3789,                0.79607,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.54328,                0.58148,                0.47439,                0.80281,                0.57064,                0.46468,                0.50928,                0.42074,                0.57064,                0.46468,                0.50928,                0.34183,                0.61053,                0.77501,                 2.4162,                0.79825,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.53045,                0.53651,                0.46468,                0.80099,                0.49321,                0.52091,                0.50556,                0.41832,                0.49321,                0.52091,                0.50556,                0.34529,                0.61361,                0.78509,                 2.4752,                0.79753,             2.4823e-05,             2.4823e-05,             2.4823e-05
