epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,12897.9,0.84343,1.12831,1.48668,0.90241,0.28628,0.62997,0.3997,0.33903,0.28628,0.62997,0.3997,0.23684,0.65161,0.75895,1.76368,0.80224,0.000626832,0.000626832,0.000626832
27,13479.7,0.84252,1.10361,1.50113,0.90663,0.25426,0.6168,0.39668,0.33227,0.25426,0.6168,0.39668,0.2339,0.65641,0.73655,1.75902,0.80378,0.000618586,0.000618586,0.000618586
28,14069.6,0.83232,1.10029,1.46113,0.90173,0.2736,0.63241,0.40998,0.34878,0.2736,0.63241,0.40998,0.24718,0.64279,0.75522,1.7124,0.80084,0.000610339,0.000610339,0.000610339
29,14652.5,0.82978,1.08997,1.49042,0.89997,0.28531,0.60133,0.37068,0.31473,0.28531,0.60133,0.37068,0.21191,0.6509,0.74638,1.88899,0.8007,0.000602092,0.000602092,0.000602092
30,15244.1,0.84242,1.13514,1.48945,0.90111,0.24002,0.60848,0.34769,0.29364,0.24002,0.60848,0.34769,0.20649,0.64233,0.75667,1.80044,0.80143,0.000593846,0.000593846,0.000593846
31,15829.9,0.83351,1.1309,1.47705,0.89932,0.27953,0.64199,0.38417,0.33019,0.27953,0.64199,0.38417,0.22887,0.63398,0.74172,1.76079,0.80141,0.000585599,0.000585599,0.000585599
32,16411,0.8324,1.1004,1.4913,0.89754,0.26619,0.62937,0.37809,0.32194,0.26619,0.62937,0.37809,0.21911,0.64325,0.72647,1.77488,0.80199,0.000577352,0.000577352,0.000577352
33,16987.6,0.8353,1.10812,1.46644,0.90642,0.29174,0.64017,0.40668,0.34596,0.29174,0.64017,0.40668,0.23319,0.64619,0.73832,1.78795,0.8023,0.000569106,0.000569106,0.000569106
34,17575.6,0.82475,1.08283,1.45012,0.90205,0.25975,0.60661,0.3618,0.30623,0.25975,0.60661,0.3618,0.20694,0.63721,0.73519,1.77727,0.80132,0.000560859,0.000560859,0.000560859
35,18164.7,0.82817,1.08205,1.42766,0.88701,0.54291,0.48115,0.37223,0.31629,0.54291,0.48115,0.37223,0.21696,0.63993,0.73537,1.69211,0.79967,0.000552612,0.000552612,0.000552612
36,18756.1,0.82108,1.0877,1.48411,0.89773,0.31685,0.64044,0.38333,0.32841,0.31685,0.64044,0.38333,0.22643,0.64273,0.74859,1.7687,0.79952,0.000544365,0.000544365,0.000544365
37,19351,0.82115,1.09265,1.45933,0.89909,0.2689,0.62156,0.35106,0.29875,0.2689,0.62156,0.35106,0.20437,0.64879,0.745,1.80667,0.80131,0.000536119,0.000536119,0.000536119
38,19937.1,0.81175,1.06091,1.44108,0.89878,0.30537,0.6345,0.44739,0.37964,0.30537,0.6345,0.44739,0.27678,0.64824,0.73961,1.69301,0.80085,0.000527872,0.000527872,0.000527872
39,20517.9,0.81992,1.13135,1.45598,0.89268,0.29349,0.63991,0.39481,0.3359,0.29349,0.63991,0.39481,0.23168,0.6394,0.74224,1.69558,0.80105,0.000519625,0.000519625,0.000519625
40,21110.5,0.78965,1.06922,1.42722,0.88529,0.31663,0.64978,0.42986,0.36815,0.31663,0.64978,0.42986,0.25057,0.6449,0.74106,1.7339,0.80105,0.000511379,0.000511379,0.000511379
41,21699.9,0.78865,1.0339,1.42497,0.89094,0.30784,0.60722,0.36979,0.31343,0.30784,0.60722,0.36979,0.21511,0.64321,0.72675,1.80205,0.80092,0.000503132,0.000503132,0.000503132
42,22280.8,0.80536,1.07428,1.4119,0.89215,0.26663,0.61536,0.36917,0.30997,0.26663,0.61536,0.36917,0.21372,0.65346,0.73123,1.79994,0.80273,0.000494885,0.000494885,0.000494885
43,22870.6,0.81162,1.0563,1.44946,0.89773,0.29003,0.65068,0.39425,0.33391,0.29003,0.65068,0.39425,0.22877,0.63886,0.72221,1.71324,0.80016,0.000486639,0.000486639,0.000486639
44,23450.8,0.79032,1.03897,1.40476,0.88633,0.30234,0.65136,0.37389,0.3195,0.30234,0.65136,0.37389,0.21668,0.65169,0.74265,1.76016,0.80077,0.000478392,0.000478392,0.000478392
45,24035.2,0.80078,1.08872,1.41299,0.89611,0.30233,0.62194,0.36704,0.31033,0.30233,0.62194,0.36704,0.20415,0.64038,0.75271,1.76088,0.80066,0.000470145,0.000470145,0.000470145
46,24617.5,0.79776,1.05754,1.38705,0.8889,0.31435,0.62676,0.3817,0.32531,0.31435,0.62676,0.3817,0.21615,0.63396,0.72885,1.70718,0.80081,0.000461898,0.000461898,0.000461898
