                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                0.77502,                0.82944,                 1.4561,                0.84099,                0.34758,                0.52953,                0.48322,                0.34931,                0.35637,                0.54614,                0.48445,                0.27951,                0.76595,                0.88713,                 2.2026,                0.83602,              0.0005856,              0.0005856,              0.0005856
                     17,                0.74803,                0.74597,                 1.4329,                 0.8469,                0.29625,                 0.5089,                0.42728,                0.31066,                0.46224,                0.43034,                0.43438,                0.24869,                0.71109,                0.79797,                 2.1736,                0.83007,             0.00056911,             0.00056911,             0.00056911
                     18,                0.76155,                0.78215,                  1.374,                   0.85,                0.35511,                0.49019,                  0.461,                0.34525,                0.35511,                0.49019,                  0.461,                0.27459,                0.70681,                0.78287,                 2.2151,                0.83053,             0.00055261,             0.00055261,             0.00055261
                     19,                0.75056,                 0.7628,                 1.3547,                0.83574,                0.34609,                0.53389,                0.47494,                0.37056,                0.34609,                0.53389,                0.47412,                0.28566,                0.70451,                0.82828,                 2.1672,                0.82815,             0.00053612,             0.00053612,             0.00053612
                     20,                0.73868,                0.74924,                 1.3226,                0.83952,                0.39155,                0.52957,                0.42872,                0.33528,                0.39155,                0.52957,                0.42785,                0.26736,                0.71582,                0.83453,                 2.5715,                0.82336,             0.00051963,             0.00051963,             0.00051963
                     21,                0.72628,                0.72289,                 1.3072,                0.83456,                0.38466,                0.52705,                0.47846,                0.35437,                0.38962,                0.51827,                0.47887,                 0.2965,                0.68498,                0.77019,                 2.2572,                 0.8196,             0.00050313,             0.00050313,             0.00050313
                     22,                0.71281,                0.75478,                  1.278,                0.84275,                0.40549,                0.52803,                 0.4675,                0.33766,                0.40879,                0.53244,                0.47462,                0.27842,                0.67765,                0.82503,                  2.197,                0.82771,             0.00048664,             0.00048664,             0.00048664
                     23,                0.71998,                0.78121,                 1.3317,                0.83768,                0.44725,                 0.5769,                0.52777,                0.42749,                0.44725,                 0.5769,                0.52777,                0.31247,                0.72049,                0.77432,                 2.0154,                0.82516,             0.00047015,             0.00047015,             0.00047015
                     24,                0.72031,                0.77778,                 1.2631,                0.83459,                0.35483,                0.58482,                0.52016,                0.38871,                0.35483,                0.58482,                0.51987,                 0.3124,                0.68642,                0.79573,                 2.2382,                0.81768,             0.00045365,             0.00045365,             0.00045365
                     25,                0.70655,                0.78585,                 1.1938,                0.82939,                0.46904,                0.53006,                0.53798,                0.41931,                0.46724,                0.52779,                 0.5364,                0.30769,                0.66646,                 0.8088,                 1.9346,                0.81731,             0.00043716,             0.00043716,             0.00043716
                     26,                0.71065,                 0.7449,                 1.1633,                0.83382,                0.50485,                0.51404,                0.52379,                0.41251,                0.50485,                0.51404,                0.52474,                0.32759,                0.66248,                 0.8442,                 2.2679,                0.82573,             0.00042066,             0.00042066,             0.00042066
                     27,                0.68609,                0.75038,                 1.1167,                0.82423,                0.36186,                 0.5337,                0.49853,                0.41441,                0.36186,                 0.5337,                0.49853,                0.31829,                0.67534,                0.80312,                 2.2633,                0.81284,             0.00040417,             0.00040417,             0.00040417
                     28,                 0.7027,                0.70622,                 1.1783,                0.82509,                0.46083,                0.50861,                0.50194,                0.39787,                0.46083,                0.50861,                0.50194,                0.31951,                   0.69,                 0.8174,                 2.1805,                0.81742,             0.00038768,             0.00038768,             0.00038768
                     29,                 0.6712,                0.73782,                 1.1598,                0.82526,                0.45512,                0.50964,                0.51543,                0.40842,                0.45512,                0.50964,                0.51543,                0.32109,                0.70316,                 0.8023,                 2.2755,                0.82101,             0.00037118,             0.00037118,             0.00037118
                     30,                0.68032,                0.72456,                 1.0691,                0.82732,                0.37736,                0.47325,                0.42721,                0.32718,                0.37437,                0.47185,                 0.4258,                0.26564,                 0.6447,                0.80643,                 2.4053,                0.81011,             0.00035469,             0.00035469,             0.00035469
                     31,                0.67403,                 0.6754,                 1.0384,                0.81642,                0.71978,                0.50951,                 0.5289,                0.41945,                0.71978,                0.50951,                0.52902,                0.33518,                 0.6513,                0.78414,                 2.0577,                0.81409,              0.0003382,              0.0003382,              0.0003382
                     32,                0.67126,                0.72063,                 1.0424,                 0.8296,                0.49772,                0.50654,                0.52589,                 0.4199,                0.49772,                0.50654,                0.52589,                0.32605,                0.67426,                0.78921,                 2.1822,                0.82859,              0.0003217,              0.0003217,              0.0003217
                     33,                0.67883,                0.70248,                 1.0633,                0.82994,                  0.472,                0.50611,                0.49631,                0.39434,                  0.472,                0.50611,                0.50211,                0.30871,                0.66879,                0.74424,                 2.2896,                0.81657,             0.00030521,             0.00030521,             0.00030521
                     34,                0.66181,                 0.7067,                0.98657,                0.81468,                0.50486,                0.50224,                0.51725,                0.42581,                0.50486,                0.50224,                0.51725,                0.34798,                0.61427,                 0.7348,                  2.185,                0.80084,             0.00028872,             0.00028872,             0.00028872
                     35,                0.65719,                0.68051,                0.94899,                0.82082,                0.55619,                0.47191,                0.49638,                0.40028,                0.55619,                0.47191,                0.49638,                0.32271,                0.61666,                 0.7518,                 2.3326,                0.80735,             0.00027222,             0.00027222,             0.00027222
                     36,                0.65082,                0.72243,                0.94163,                0.81675,                0.50033,                0.52474,                0.51387,                0.41929,                0.50033,                0.52474,                0.51387,                0.32969,                0.65261,                0.74569,                 2.1514,                0.80458,             0.00025573,             0.00025573,             0.00025573
                     37,                  0.648,                0.68784,                0.94753,                 0.8208,                0.74676,                0.46021,                0.51514,                0.43776,                0.74676,                0.46021,                0.51514,                0.33285,                0.67229,                0.80382,                 2.3593,                0.81187,             0.00023924,             0.00023924,             0.00023924
                     38,                0.64431,                0.67681,                0.94369,                0.81667,                0.51343,                0.50412,                0.51505,                0.42829,                0.51343,                0.50412,                0.51505,                0.32794,                0.62764,                0.81299,                 2.2183,                0.80962,             0.00022274,             0.00022274,             0.00022274
                     39,                  0.626,                0.67687,                0.91304,                0.81522,                0.54012,                0.50873,                0.52055,                0.42723,                0.54012,                0.50873,                0.52055,                0.32857,                 0.6486,                0.80026,                 2.2099,                0.81802,             0.00020625,             0.00020625,             0.00020625
                     40,                0.63195,                0.68652,                0.86145,                0.81816,                 0.4638,                0.54901,                0.51458,                0.41324,                 0.4638,                0.54901,                0.51458,                0.31874,                0.63445,                0.75599,                  2.195,                0.81613,             0.00018976,             0.00018976,             0.00018976
                     41,                0.60833,                0.59957,                0.83032,                0.81887,                0.58534,                 0.5407,                0.54491,                0.43959,                0.58534,                 0.5407,                0.54491,                0.33844,                0.64315,                0.77213,                 2.2694,                0.81408,             0.00017326,             0.00017326,             0.00017326
                     42,                0.61827,                0.65393,                0.78878,                0.81119,                0.54429,                0.51423,                0.52018,                0.41918,                0.54429,                0.51423,                 0.5258,                 0.3318,                0.62769,                0.76859,                 2.2976,                0.81698,             0.00015677,             0.00015677,             0.00015677
                     43,                0.60407,                0.61462,                0.78406,                0.81516,                0.51902,                 0.5332,                0.51673,                0.43235,                0.51902,                 0.5332,                0.51673,                0.34743,                0.60916,                0.78847,                 2.4248,                0.80242,             0.00014028,             0.00014028,             0.00014028
                     44,                 0.5873,                0.59664,                0.73613,                0.81426,                0.53608,                 0.5206,                0.51945,                 0.4256,                0.53466,                0.52114,                0.52277,                0.33824,                0.61211,                0.76596,                 2.2178,                0.80575,             0.00012378,             0.00012378,             0.00012378
                     45,                0.58596,                0.64913,                0.70404,                0.81373,                0.51433,                0.53096,                0.51308,                0.42502,                0.51433,                0.53096,                0.51308,                0.32886,                0.66195,                0.74006,                 2.4828,                0.81158,             0.00010729,             0.00010729,             0.00010729
                     46,                0.59278,                0.60253,                0.70133,                0.80002,                 0.5508,                0.53904,                0.52153,                0.42733,                 0.5508,                0.53904,                0.52153,                0.35256,                0.60535,                0.74894,                 2.3695,                0.80448,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.58415,                0.60447,                0.67907,                0.81564,                0.52486,                0.51584,                0.52144,                0.42312,                0.52486,                0.51584,                0.52144,                0.32746,                0.62897,                0.73013,                 2.4434,                0.81379,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.57214,                0.64542,                0.66807,                0.80882,                0.54419,                0.51925,                0.52624,                0.43424,                0.54419,                0.51925,                0.52624,                0.34627,                0.62638,                0.74265,                 2.3188,                0.80693,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 0.5844,                0.62528,                0.66656,                0.81083,                0.50469,                0.55848,                0.52547,                0.43521,                0.50469,                0.55848,                0.52547,                0.34487,                0.61101,                0.74855,                 2.3226,                0.80655,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.57056,                 0.5731,                0.67213,                0.80786,                0.55523,                0.50797,                0.52206,                0.43117,                0.55523,                0.50797,                0.52206,                0.33379,                0.62988,                0.76699,                 2.3797,                0.81358,             2.4823e-05,             2.4823e-05,             2.4823e-05
