                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8898,                 3.1585,                 7.8635,                  1.269,                 0.0003,                0.13333,                0.00048,                  9e-05,                0.00015,                0.06667,                0.00014,                  3e-05,                  1.072,                 1.9109,                 4.9141,                0.91147,             0.00027089,             0.00027089,             0.00027089
                      2,                 1.0977,                 1.5189,                 4.9209,                0.91527,                0.72153,                0.05633,                0.13866,                0.08946,                0.72153,                0.05633,                 0.1409,                0.07375,                 1.0895,                 1.4312,                 3.9977,                 0.9205,              0.0005377,              0.0005377,              0.0005377
                      3,                 1.0096,                 1.1448,                 3.8124,                0.91407,                0.32845,                0.14889,                0.14731,                0.10627,                0.32845,                0.14889,                0.14993,                0.08292,                 1.0132,                 1.3817,                 3.4634,                0.91735,             0.00079351,             0.00079351,             0.00079351
                      4,                0.94025,                 1.0927,                 3.1655,                 0.8889,                0.15253,                0.35012,                0.24498,                0.14333,                0.15253,                0.35012,                0.31591,                0.12449,                0.94734,                 1.3043,                  3.143,                0.89491,             0.00078352,             0.00078352,             0.00078352
                      5,                0.95145,                  1.063,                 2.5754,                0.88499,                0.42354,                0.35266,                0.25309,                0.15866,                 0.4445,                0.35266,                0.27364,                0.11727,                0.90841,                 1.0103,                 2.6702,                0.89768,             0.00076703,             0.00076703,             0.00076703
                      6,                0.88599,                0.99602,                 2.4225,                0.88115,                0.17257,                0.51067,                 0.2841,                0.20395,                0.17257,                0.51067,                0.28617,                0.17527,                 0.8205,                0.92774,                 2.6215,                0.85619,             0.00075053,             0.00075053,             0.00075053
                      7,                0.85143,                0.88683,                 2.1573,                0.86199,                0.44014,                0.47258,                0.35933,                0.24255,                0.44014,                0.47258,                0.38578,                0.21018,                0.81222,                0.86498,                 2.6244,                0.86133,             0.00073404,             0.00073404,             0.00073404
                      8,                0.88701,                0.96107,                 2.0861,                0.86664,                0.20733,                0.42714,                0.31322,                0.22901,                0.22731,                0.45984,                0.35665,                0.18753,                0.81191,                0.84996,                 2.2597,                0.85263,             0.00071755,             0.00071755,             0.00071755
                      9,                0.82008,                  0.868,                 1.8886,                 0.8708,                0.78012,                0.28261,                  0.408,                0.28109,                0.78012,                0.28261,                0.41044,                0.24509,                0.72511,                0.87886,                 2.4695,                0.83954,             0.00070105,             0.00070105,             0.00070105
                     10,                0.83282,                0.91433,                 1.7937,                0.86246,                0.35584,                0.47278,                 0.4155,                 0.2896,                0.35584,                0.47278,                0.41437,                0.23543,                 0.7478,                0.90845,                 2.4527,                 0.8378,             0.00068456,             0.00068456,             0.00068456
                     11,                0.79725,                0.84049,                 1.6982,                 0.8416,                0.46344,                0.38093,                0.40465,                0.29125,                0.47403,                0.40315,                0.42317,                0.23316,                0.70758,                0.83928,                 2.3767,                0.83178,             0.00066807,             0.00066807,             0.00066807
                     12,                0.79939,                0.79636,                  1.703,                 0.8485,                0.22956,                0.46915,                0.34591,                0.24598,                0.22956,                0.46915,                0.36957,                0.20223,                0.71872,                0.94504,                 2.5614,                0.84251,             0.00065157,             0.00065157,             0.00065157
                     13,                0.78079,                0.82974,                 1.5749,                0.85506,                0.27207,                0.53754,                0.42011,                0.30354,                0.27207,                0.53754,                0.41991,                0.25283,                0.82195,                0.96154,                 2.1251,                0.84716,             0.00063508,             0.00063508,             0.00063508
                     14,                0.81677,                0.86637,                 1.6274,                0.85181,                0.32471,                 0.5167,                0.44368,                0.33191,                0.32471,                 0.5167,                0.44368,                0.25463,                0.71912,                0.75572,                 2.4228,                0.82916,             0.00061859,             0.00061859,             0.00061859
                     15,                0.76709,                0.83014,                 1.6187,                0.84573,                0.35603,                0.49766,                0.48422,                0.34537,                0.35603,                0.49766,                0.48422,                0.25768,                0.70748,                0.74458,                 1.9731,                0.82959,             0.00060209,             0.00060209,             0.00060209
