                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.78134,                 0.7774,                 1.3726,                 0.8542,                0.28025,                0.61625,                 0.3818,                0.31206,                0.28025,                0.61625,                0.38081,                0.19539,                0.70945,                0.87635,                 1.8471,                0.80944,               0.005248,               0.005248,               0.005248
                     26,                0.78435,                0.77983,                 1.3554,                0.84952,                0.56888,                0.49228,                0.37246,                0.31053,                0.56888,                0.49228,                0.37236,                 0.2027,                0.68773,                0.93675,                 1.7982,                 0.8083,                0.00505,                0.00505,                0.00505
                     27,                0.76228,                0.78828,                 1.3364,                0.84808,                0.24165,                0.59635,                0.33158,                0.27809,                0.24165,                0.59635,                0.33147,                 0.1813,                0.65178,                0.82502,                  1.957,                0.80415,               0.004852,               0.004852,               0.004852
                     28,                0.75237,                0.78386,                 1.3825,                0.84301,                0.21645,                0.61935,                0.34557,                0.27197,                0.21645,                0.61935,                0.34551,                0.17004,                0.77256,                0.96122,                 2.0379,                0.81758,               0.004654,               0.004654,               0.004654
                     29,                0.78887,                0.80389,                 1.3494,                0.86287,                0.50926,                0.50395,                0.35909,                0.30006,                0.50926,                0.50395,                0.35839,                0.18415,                0.68628,                0.90071,                 1.9198,                0.80735,               0.004456,               0.004456,               0.004456
                     30,                0.73069,                0.76859,                   1.33,                 0.8504,                0.52905,                0.46907,                0.33634,                0.28187,                0.52905,                0.46907,                0.33625,                0.19037,                0.67616,                 0.8989,                 1.9635,                0.80574,               0.004258,               0.004258,               0.004258
                     31,                0.74487,                0.73258,                 1.2789,                0.84337,                0.29546,                0.64217,                0.38003,                0.31359,                0.29546,                0.64217,                 0.3796,                0.20373,                0.69537,                0.91765,                 1.7891,                0.80577,                0.00406,                0.00406,                0.00406
                     32,                0.72859,                 0.7146,                 1.3088,                0.85111,                 0.5744,                0.49386,                0.37698,                0.31581,                 0.5744,                0.49386,                0.37667,                0.19759,                0.68762,                0.96502,                 1.7177,                0.80763,               0.003862,               0.003862,               0.003862
                     33,                0.73158,                0.74818,                 1.2726,                0.84985,                0.50068,                 0.5247,                0.36916,                0.30765,                0.50068,                 0.5247,                0.36908,                0.19617,                0.67325,                0.85704,                 1.7879,                0.80334,               0.003664,               0.003664,               0.003664
                     34,                0.72316,                0.75439,                 1.2563,                0.85814,                0.31006,                0.62705,                0.41792,                 0.3549,                0.30966,                0.62618,                0.41702,                0.21978,                0.65158,                0.88227,                 1.7408,                0.80474,               0.003466,               0.003466,               0.003466
                     35,                0.70102,                0.71042,                 1.2571,                0.83753,                0.53593,                0.55414,                 0.3886,                0.32567,                0.53593,                0.55414,                0.38768,                0.20433,                0.62723,                0.86429,                 1.7823,                0.79983,               0.003268,               0.003268,               0.003268
                     36,                0.69171,                  0.724,                 1.2336,                0.83818,                0.27484,                0.62729,                0.35779,                0.30013,                0.27658,                0.62679,                0.35682,                0.18534,                0.63834,                  0.878,                 1.7767,                0.79879,                0.00307,                0.00307,                0.00307
                     37,                 0.7029,                0.70203,                 1.2138,                0.84122,                 0.2956,                0.65581,                0.37471,                0.31095,                 0.2956,                0.65581,                0.37471,                0.20392,                 0.6574,                 0.8913,                 1.8122,                0.79907,               0.002872,               0.002872,               0.002872
                     38,                0.69317,                0.70391,                 1.2224,                0.83594,                0.54953,                0.56053,                0.40689,                 0.3405,                0.54953,                0.56053,                0.40645,                0.22288,                0.64604,                0.88582,                 1.8634,                0.80137,               0.002674,               0.002674,               0.002674
                     39,                0.69564,                0.70297,                 1.1663,                 0.8431,                0.31043,                0.62268,                0.41359,                0.34431,                0.30907,                0.62337,                0.41387,                0.21301,                0.65383,                0.84961,                 1.8369,                0.80134,               0.002476,               0.002476,               0.002476
                     40,                0.68752,                0.70783,                  1.156,                0.84125,                0.32128,                0.62819,                0.38533,                0.32556,                0.32075,                0.62732,                0.38508,                0.20196,                0.62988,                0.86024,                 1.7495,                0.79877,               0.002278,               0.002278,               0.002278
                     41,                0.67644,                0.64428,                 1.1563,                0.83868,                0.32972,                0.56464,                0.35938,                 0.3025,                0.32972,                0.56464,                0.35845,                0.19892,                0.66393,                0.87881,                 1.8803,                0.80113,                0.00208,                0.00208,                0.00208
                     35,                0.71754,                0.71945,                 1.3048,                0.84827,                0.29933,                0.54694,                0.35999,                0.29099,                0.29933,                0.54694,                 0.3596,                0.17765,                0.79745,                 2.1538,                 1.9662,                0.94247,               0.003268,               0.003268,               0.003268
                     36,                0.71484,                0.72906,                 1.2549,                0.84949,                0.24636,                0.62709,                0.35234,                0.29437,                0.24636,                0.62709,                0.35185,                0.18424,                0.66653,                0.83817,                 1.8044,                0.80294,                0.00307,                0.00307,                0.00307
                     37,                0.69052,                0.72944,                 1.1921,                0.84035,                0.29559,                0.59646,                0.37711,                0.31913,                0.29559,                0.59646,                0.37709,                0.20018,                0.64394,                0.91651,                 1.8955,                0.80055,               0.002872,               0.002872,               0.002872
                     38,                0.70841,                0.70786,                 1.1639,                0.84265,                0.51268,                0.52051,                0.35449,                 0.2972,                0.51268,                0.52051,                0.35407,                0.19159,                0.64383,                0.88117,                 1.8898,                0.79948,               0.002674,               0.002674,               0.002674
                     39,                 0.7051,                0.70117,                 1.2211,                0.84453,                0.28525,                0.60684,                0.35354,                0.29666,                0.28472,                0.60597,                0.35265,                0.18614,                0.64256,                0.84769,                 1.8295,                0.80025,               0.002476,               0.002476,               0.002476
                     40,                   0.69,                0.69303,                 1.1496,                0.83893,                0.30059,                0.63058,                0.36809,                0.30272,                0.30059,                0.63058,                 0.3679,                0.18376,                0.67282,                0.86505,                 1.8232,                0.80258,               0.002278,               0.002278,               0.002278
                     41,                0.67163,                0.65884,                 1.1708,                0.83619,                0.25153,                0.61072,                0.33534,                0.28403,                0.25153,                0.61072,                0.33495,                0.18098,                0.61733,                0.83689,                 1.9412,                0.79596,                0.00208,                0.00208,                0.00208
                     42,                0.64046,                0.68879,                 1.0947,                0.83685,                0.29512,                0.60559,                0.35197,                0.29444,                0.29512,                0.60559,                0.35129,                 0.1887,                 0.6751,                0.80237,                 1.7867,                0.80301,               0.001882,               0.001882,               0.001882
                     43,                0.65246,                0.66474,                 1.0702,                0.83748,                0.26844,                0.62428,                 0.3507,                0.29774,                0.26796,                0.62341,                0.35009,                0.17712,                0.62249,                  0.852,                 1.7873,                0.79608,               0.001684,               0.001684,               0.001684
                     44,                0.63501,                0.67307,                 1.0331,                0.83076,                 0.2986,                0.61499,                0.36248,                0.30498,                 0.2986,                0.61499,                0.36266,                0.19689,                0.64846,                0.91234,                 1.7228,                0.80011,               0.001486,               0.001486,               0.001486
                     45,                0.62733,                0.64223,                 1.0016,                0.83559,                0.28931,                0.64657,                0.37799,                0.31694,                0.28931,                0.64657,                0.37765,                0.19624,                0.63494,                0.84863,                  1.761,                0.79849,               0.001288,               0.001288,               0.001288
                     46,                0.62151,                0.63247,                 1.0012,                0.83885,                0.28811,                0.60597,                0.37356,                0.31195,                0.28811,                0.60597,                0.37335,                0.18913,                0.65045,                 0.8578,                 1.7874,                0.80042,                0.00109,                0.00109,                0.00109
                     47,                0.60285,                0.61091,                0.97854,                0.83637,                0.27789,                0.62234,                0.35731,                0.30367,                0.27732,                0.62147,                0.35689,                0.18804,                0.62966,                0.85911,                 1.8355,                0.79829,               0.000892,               0.000892,               0.000892
                     48,                0.61348,                0.64001,                0.95093,                 0.8301,                0.29362,                0.63385,                0.36433,                0.30827,                0.29308,                0.63299,                0.36318,                0.19178,                0.62948,                0.82682,                 1.7891,                0.79786,               0.000694,               0.000694,               0.000694
                     49,                0.61934,                0.61249,                0.94633,                0.83017,                0.29404,                0.63191,                0.37447,                 0.3181,                0.29351,                0.63104,                0.37395,                0.19703,                0.61613,                0.83929,                 1.7831,                 0.7959,               0.000496,               0.000496,               0.000496
                     50,                0.60109,                0.63102,                0.93275,                0.82715,                0.29639,                0.61629,                0.36771,                0.31313,                 0.2958,                0.61543,                0.36688,                0.19199,                0.62651,                0.84273,                 1.7961,                0.79737,               0.000298,               0.000298,               0.000298
